class-row,class-topic,Week,Day,Date,Topic,Reading,Assign-OUT,Assign-DUE
,,1,,,,,,
,,,W,17-Jan,"Welcome, Intro to ML",Ch. 2.1,,
,,2,M,22-Jan,"Evaluating Models, GitHub Classroom",Ch. 2.2,,ic01
,,,W,24-Jan,Simple and Multiple Linear Regression,"Ch. 3.1, 3.2",hw01,
,,3,M,29-Jan,More Linear Regression,Ch. 3.3,,
,,,W,31-Jan,LR Comparison with KNN,Ch. 3.5,q01,hw01
,inClass,4,M,5-Feb,Linear Regression Lab,Ch. 3.6 ,,ic02
,,,W,7-Feb,Logistic Regression,Ch. 4.3,hw02,q01
,,5,M,12-Feb,Generative Models for Classification,Ch. 4.4,,
,,,W,14-Feb,Generative Models for Classification,Ch. 4.4,q02,hw02
,inClass,6,T,20-Feb,Classification Lab ,Ch. 4.7,,ic03
,,,W,21-Feb,Cross-Validation and Bootstrap,"Ch. 5.1, 5.2",hw03,q02
,inClass,7,M,26-Feb,Cross-Validation and Bootstrap Lab,Ch. 5.3,,ic04
,,,W,28-Feb,Subset Selection,Ch. 6.1,q03,hw03
,,8,M,4-Mar,Shrinkage Methods,Ch. 6.2,,
,,,W,6-Mar,Dimension Reduction,Ch. 6.3,hw04,q03
noClass,italic,9,M,11-Mar,NO CLASS - Spring Break,,,
noClass,italic,,W,13-Mar,NO CLASS - Spring Break,,,
,inClass,10,M,18-Mar,"Linear Models and Regularization Lab, EDA",Ch. 6.5,,ic05
noClass,italic,,W,20-Mar,NO CLASS,,q04,hw04
,,11,M,25-Mar,Decision Trees,Ch. 8.1,,
,,,W,27-Mar,"Bagging, Random Forests, Boosting",Ch. 8.2,proj,q04
,inClass,12,M,1-Apr,Tree-Based Methods Lab,Ch. 8.3,,ic06
,,,W,3-Apr,Principal Components Analysis,Ch. 12.2,,proj-proposal
,,13,M,8-Apr,Clustering Methods,Ch. 12.4 ,,
,inClass,,W,10-Apr,Unsupervised Learning Lab,Ch. 12.5 ,,"proj-check-in-1, ic07"
noClass,italic,14,M,15-Apr,NO CLASS - Marathon Monday,,,
,,,W,17-Apr,Coded Bias ,,,proj-check-in-2
,proj ,15,M,22-Apr,Final Project Work Session,,,
,speaker,,W,24-Apr,Guest Speaker - Ashley Suh ,,,proj
presy,proj ,16,M,29-Apr,Final Project Presentations ,,,
presy,proj ,,W,1-May,Final Project Presentations ,,,
